,size,merge,comb,insertion,shell,selection,bubble,mergeinsert_k4,mergeinsert_k8,mergeinsert_k32,mergeinsert_k64
1,10,0,0,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0,0,0,0
3,40,0,0,0,0,0,0,0,0,0,0
4,80,0,0,0,0,0.01,0,0,0,0,0
5,100,0,0,0,0,0,0,0,0,0,0
6,200,0,0,0,0,0,0,0,0,0,0
7,400,0,0,0,0,0,0,0,0,0,0
8,800,0,0,0,0,0,0.01,0,0,0,0
9,1600,0,0,0.01,0,0.02,0.06,0,0,0,0
10,3200,0,0,0.07,0,0.07,0.25,0,0,0,0
11,6400,0.01,0.01,0.29,0,0.3,1.08,0,0,0,0
12,12800,0.02,0.01,1.08,0.02,1.19,4.78,0.01,0.01,0.01,0.01
13,25600,0.05,0.03,4.3,0.04,5.07,16.35,0.03,0.03,0.03,0.03
14,51200,0.1,0.08,17.81,0.09,19.7,64.73,0.07,0.07,0.07,0.07
15,102400,0.15,0.17,68.8,0.2,76.5,270.84,0.15,0.16,0.15,0.15
16,204800,0.32,0.38,276.68,0.46,299.33,1031.12,0.32,0.32,0.31,0.31
17,409600,0.68,0.78,1147.89,1.15,1186.79,4109.69,0.66,0.66,0.67,0.66
18,819200,1.79,1.72,4500.17,2.43,5063.07,7200,1.38,1.4,1.39,1.38
19,1638400,2.93,4.01,7200,5.71,7200,7200,2.97,2.97,2.88,2.92
20,3276800,6.57,7.99,7200,11.68,7200,7200,6.07,6,6.05,6.27
