,size,merge,comb,insertion,shell,selection,bubble,mergeinsert_k4,mergeinsert_k8,mergeinsert_k32,mergeinsert_k64
1,10,0,0,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0,0,0,0
3,40,0,0,0,0,0,0,0,0,0,0
4,80,0,0,0,0,0.01,0,0,0,0,0
5,100,0,0,0,0,0,0,0,0,0,0
6,200,0,0,0,0,0,0,0,0,0,0
7,400,0,0,0,0,0,0,0,0,0,0
8,800,0,0,0.01,0,0,0.02,0,0,0,0
9,1600,0,0,0.04,0,0.01,0.09,0,0,0,0
10,3200,0,0,0.13,0,0.07,0.32,0,0,0,0
11,6400,0,0.01,0.67,0,0.28,1.29,0,0,0,0
12,12800,0.01,0.02,2.98,0.01,1.13,5.82,0.01,0.01,0.01,0.01
13,25600,0.02,0.03,11.65,0.02,4.46,20.78,0.02,0.02,0.02,0.02
14,51200,0.04,0.06,39.27,0.04,17.8,83.59,0.04,0.04,0.04,0.04
15,102400,0.1,0.1,173.99,0.08,70.97,334.12,0.09,0.09,0.09,0.09
16,204800,0.2,0.21,710.87,0.17,284.82,1328.65,0.2,0.2,0.2,0.2
17,409600,0.59,0.6,2308.99,0.39,1134.88,5342.46,0.41,0.42,0.42,0.41
18,819200,0.98,1.4,7200,0.81,4506.83,7200,0.87,0.86,0.86,0.86
19,1638400,1.95,2.22,7200,1.66,7200,7200,1.8,1.79,1.79,1.79
20,3276800,4.16,4.77,7200,3.6,7200,7200,3.71,3.74,3.72,3.72
