,size,merge,comb,insertion,shell,selection,bubble,mergeinsert_k4,mergeinsert_k8,mergeinsert_k32,mergeinsert_k64
1,10,0,0,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0,0,0,0
3,40,0,0,0,0,0,0,0,0,0,0
4,80,0,0,0,0,0,0,0,0,0,0
5,100,0,0,0,0,0,0,0,0,0,0
6,200,0,0,0,0,0,0,0,0,0,0
7,400,0,0,0,0,0,0,0,0,0,0
8,800,0,0,0,0,0,0,0,0,0,0
9,1600,0,0,0,0,0.01,0.01,0,0,0,0
10,3200,0,0,0,0,0.07,0.07,0,0,0,0
11,6400,0,0,0,0,0.29,0.28,0,0,0,0
12,12800,0.01,0.01,0,0,1.18,1.11,0.01,0.01,0.01,0.01
13,25600,0.03,0.02,0.01,0.01,4.73,4.41,0.02,0.02,0.02,0.02
14,51200,0.04,0.05,0.01,0.03,18.6,17.66,0.04,0.04,0.04,0.04
15,102400,0.14,0.08,0.02,0.07,75.4,70.46,0.09,0.09,0.09,0.09
16,204800,0.2,0.2,0.06,0.14,295.7,282.86,0.2,0.2,0.2,0.2
17,409600,0.46,0.52,0.09,0.3,1172.66,1135.25,0.42,0.42,0.42,0.42
18,819200,1.01,0.88,0.19,0.63,4625.74,4549.96,0.87,0.87,0.87,0.87
19,1638400,1.98,2.38,0.63,1.37,7200,7200,1.81,1.82,1.81,1.81
20,3276800,4.26,4.76,1.41,2.82,7200,7200,3.75,3.75,3.74,3.74
